run_id	command	status	exit_code	timestamp	error_type
404	mysql -u root vbstyle_documents -e 'DESCRIBE paths;'	DONE	0	2026-06-28 16:41:20	NULL
403	mysql -u root vbstyle_documents -e 'DESCRIBE markdown_files; SELECT * FROM paths LIMIT 5;'	DONE	0	2026-06-28 16:41:09	NULL
402	mysql -u root chatgpt_export -e 'SELECT conversation_id, MAX(create_date) AS latest FROM messages GROUP BY conversation_id ORDER BY latest DESC LIMIT 5;'	DONE	0	2026-06-28 16:11:45	NULL
401	mysql -u root chatgpt_export -e 'DESCRIBE messages;'	DONE	0	2026-06-28 16:11:39	NULL
400	mysql -u root chatgpt_chats -e "SELECT id, title, update_date, message_count, token_count FROM conversations ORDER BY update_time DESC LIMIT 5;"	DONE	0	2026-06-28 16:11:34	NULL
399	mysql -u root chatgpt_chats -e "SELECT id, title, update_date, message_count FROM conversations WHERE title LIKE '%AST%' OR title LIKE '%cluster%' OR title LIKE '%code%shape%' OR title LIKE '%CoreML%' OR title LIKE '%VBSTYLE%' OR title LIKE '%generator%' OR title LIKE '%267%' OR title LIKE '%BrkBank%' ORDER BY update_time DESC LIMIT 15;"	DONE	0	2026-06-28 16:11:28	NULL
398	mysql -u root vbstyle_documents -e "SELECT id, file_name, mac_modified_at FROM markdown_files WHERE file_name LIKE '%chatgpt%' ORDER BY mac_modified_at DESC LIMIT 10;"	DONE	0	2026-06-28 16:10:53	NULL
397	mysql -u root vbstyle_documents -e 'DESCRIBE markdown_files;'	DONE	0	2026-06-28 16:10:46	NULL
396	mysql -u root vbstyle_documents -e 'SELECT COUNT(*) AS total FROM markdown_files;'	DONE	0	2026-06-28 16:10:40	NULL
395	mysql -u root vbstyle_documents -e 'SHOW TABLES;'	DONE	0	2026-06-28 16:10:31	NULL
394	mysql -u root chatgpt_export -e 'SELECT COUNT(*) AS total_messages FROM messages; SELECT COUNT(DISTINCT conversation_id) AS total_convs FROM messages; SELECT conversation_id, MAX(created_at) AS latest FROM messages GROUP BY conversation_id ORDER BY latest DESC LIMIT 5;'	FAILED	1	2026-06-28 16:10:03	MySQLProgrammingError
393	mysql -u root chatgpt_export -e 'SHOW TABLES; SELECT COUNT(*) AS total FROM chat_messages;'	FAILED	1	2026-06-28 16:09:49	NULL
